Datum,Wochenmittel,Jahresgang,Anomalie
1998-04-30,12.12857142857143,11.059073322965915,1.0694981056055148
1998-05-07,11.671428571428569,12.060160154995929,-0.3887315835673597
1998-05-14,16.485714285714288,13.015514278670572,3.470200007043715
1998-05-21,13.185714285714285,13.910642159636984,-0.7249278739226988
1998-05-28,11.928571428571429,14.731963946851977,-2.803392518280548
1998-06-04,16.485714285714284,15.467019490468733,1.0186947952455512
1998-06-11,16.157142857142855,16.104657372904327,0.05248548423852739
1998-06-18,13.942857142857145,16.63520408532601,-2.6923469424688644
1998-06-25,17.9,17.050610783005176,0.8493892169948225
1998-07-02,16.142857142857142,17.344575393135504,-1.2017182502783612
1998-07-09,13.528571428571428,17.512638222635786,-3.9840667940643577
1998-07-16,14.685714285714285,17.552249615485877,-2.866535329771592
1998-07-23,18.971428571428568,17.462808633176373,1.5086199382521954
1998-07-30,16.185714285714287,17.24567217145674,-1.0599578857424525
1998-08-06,16.857142857142858,16.904134375073102,-0.0469915179302447
1998-08-13,18.942857142857143,16.44337666279158,2.4994804800655643
1998-08-20,16.957142857142856,15.870389120870037,1.0867537362728186
1998-08-27,13.042857142857143,15.193864457506209,-2.151007314649066
1998-09-03,14.314285714285715,14.424066127063291,-0.10978041277757633
1998-09-10,16.72857142857143,13.57267262474067,3.1558988038307607
1998-09-17,11.528571428571428,12.652600313872039,-1.1240288853006106
1998-09-24,12.728571428571428,11.677807473711379,1.0507639548600487
1998-10-01,13.014285714285716,10.663082540468555,2.3512031738171615
1998-10-08,7.0,9.623819754158042,-2.623819754158042
1998-10-15,10.057142857142859,8.575785614888833,1.4813572422540258
1998-10-22,9.657142857142857,7.534879691652215,2.122263165490642
1998-10-29,9.442857142857141,6.516893412341442,2.925963730515699
1998-11-05,5.257142857142858,5.53727049436382,-0.28012763722096157
1998-11-12,6.228571428571429,4.610872650316507,1.6176987782549217
1998-11-19,0.7000000000000001,3.7517541231701355,-3.0517541231701353
1998-11-26,-2.1857142857142855,2.9729484714532255,-5.1586627571675105
1998-12-03,-1.0714285714285716,2.286270839087445,-3.3576994105160165
1998-12-10,-2.5,1.7021387096083735,-4.2021387096083735
1998-12-17,4.514285714285714,1.2294138640827583,3.284871850202956
1998-12-24,2.7142857142857144,0.8752679403549255,1.839017773930789
1998-12-31,5.014285714285714,0.6450736332029496,4.369212081082765
1999-01-07,6.342857142857143,0.881145149061247,5.4617119937958964
1999-01-14,0.24285714285714283,0.6484336986350101,-0.4055765557778673
1999-01-21,7.157142857142857,0.5431151330989668,6.61402772404389
1999-01-28,4.3,0.5667872246401657,3.733212775359834
1999-02-04,1.9000000000000001,0.7190908475025619,1.1809091524974382
1999-02-11,-0.2285714285714285,0.9977154262300836,-1.226286854801512
1999-02-18,-1.2857142857142858,1.3984339890608757,-2.6841482747751613
1999-02-25,2.728571428571428,1.9151672946829565,0.8134041338884717
1999-03-04,6.757142857142857,2.540076059493823,4.217066797649034
1999-03-11,4.085714285714286,3.2636798861981218,0.8220343995161645
1999-03-18,4.814285714285714,4.075001089495384,0.7392846247903302
1999-03-25,6.671428571428571,4.961731236899899,1.7096973345286717
1999-04-01,9.22857142857143,5.910417878126846,3.318153550444584
1999-04-08,11.071428571428571,6.9066686302011675,4.164759941227404
1999-04-15,7.214285714285714,7.935369522144524,-0.7210838078588093
1999-04-22,7.671428571428572,8.980914286765794,-1.309485715337222
1999-04-29,11.457142857142857,10.027441121003713,1.429701736139144
1999-05-06,10.428571428571429,11.059073322965915,-0.6305018943944862
1999-05-13,13.085714285714287,12.060160154995929,1.0255541307183584
1999-05-20,12.185714285714285,13.015514278670572,-0.8297999929562874
1999-05-27,14.542857142857144,13.910642159636984,0.6322149832201607
1999-06-03,17.514285714285716,14.731963946851977,2.7823217674337393
1999-06-10,14.171428571428573,15.467019490468733,-1.2955909190401602
1999-06-17,16.6,16.104657372904327,0.495342627095674
1999-06-24,13.957142857142857,16.63520408532601,-2.678061228183152
1999-07-01,16.742857142857144,17.050610783005176,-0.3077536401480323
1999-07-08,19.1,17.344575393135504,1.7554246068644979
1999-07-15,19.985714285714288,17.512638222635786,2.4730760630785014
1999-07-22,19.857142857142858,17.552249615485877,2.3048932416569805
1999-07-29,18.0,17.462808633176373,0.5371913668236274
1999-08-05,22.657142857142855,17.24567217145674,5.4114706856861154
1999-08-12,18.514285714285712,16.904134375073102,1.61015133921261
1999-08-19,15.5,16.44337666279158,-0.9433766627915787
1999-08-26,16.057142857142857,15.870389120870037,0.18675373627282
1999-09-02,16.514285714285712,15.193864457506209,1.320421256779504
1999-09-09,19.47142857142857,14.424066127063291,5.04736244436528
1999-09-16,19.97142857142857,13.57267262474067,6.398755946687901
1999-09-23,17.6,12.652600313872039,4.947399686127962
1999-09-30,15.485714285714286,11.677807473711379,3.8079068120029067
1999-10-07,11.314285714285715,10.663082540468555,0.6512031738171604
1999-10-14,11.842857142857143,9.623819754158042,2.2190373886991015
1999-10-21,4.742857142857143,8.575785614888833,-3.83292847203169
1999-10-28,11.057142857142859,7.534879691652215,3.522263165490644
1999-11-04,9.657142857142858,6.516893412341442,3.140249444801416
1999-11-11,6.785714285714285,5.53727049436382,1.2484437913504651
1999-11-18,1.6714285714285713,4.610872650316507,-2.9394440788879357
1999-11-25,3.0428571428571423,3.7517541231701355,-0.7088969803129932
1999-12-02,7.042857142857144,2.9729484714532255,4.069908671403918
1999-12-09,5.628571428571428,2.286270839087445,3.3423005894839832
1999-12-16,3.485714285714286,1.7021387096083735,1.7835755761059127
1999-12-23,1.0999999999999999,1.2294138640827583,-0.12941386408275846
1999-12-30,3.042857142857143,0.8752679403549255,2.1675892025022176
2000-01-06,5.1000000000000005,0.881145149061247,4.218854850938754
2000-01-13,2.8285714285714287,0.6484336986350101,2.1801377299364186
2000-01-20,3.7142857142857144,0.5431151330989668,3.1711705811867477
2000-01-27,0.05714285714285713,0.5667872246401657,-0.5096443674973086
2000-02-03,5.942857142857142,0.7190908475025619,5.22376629535458
2000-02-10,7.042857142857144,0.9977154262300836,6.04514171662706
2000-02-17,3.414285714285715,1.3984339890608757,2.0158517252248394
2000-02-24,2.128571428571429,1.9151672946829565,0.21340413388847246
2000-03-02,5.857142857142856,2.540076059493823,3.3170667976490327
2000-03-09,5.671428571428572,3.2636798861981218,2.40774868523045
2000-03-16,5.0,4.075001089495384,0.9249989105046161
2000-03-23,5.271428571428571,4.961731236899899,0.3096973345286722
2000-03-30,5.571428571428571,5.910417878126846,-0.33898930669827454
2000-04-06,7.171428571428573,6.9066686302011675,0.2647599412274051
